threshold,horizon,regime,category,n,edge
1000000,24h,bull,deposit,120073,0.99
1000000,24h,bull,withdrawal,83270,-0.95
1000000,24h,bear,deposit,60890,2.05
1000000,24h,bear,withdrawal,41414,-1.6
1000000,3d,bull,deposit,119990,1.08
1000000,3d,bull,withdrawal,83206,-0.57
1000000,3d,bear,deposit,60890,1.97
1000000,3d,bear,withdrawal,41414,-2.87
1000000,1w,bull,deposit,119593,0.46
1000000,1w,bull,withdrawal,82938,-1.21
1000000,1w,bear,deposit,60890,3.92
1000000,1w,bear,withdrawal,41414,-3.95
2000000,24h,bull,deposit,73927,0.78
2000000,24h,bull,withdrawal,42391,-1.26
2000000,24h,bear,deposit,38522,2.72
2000000,24h,bear,withdrawal,21578,-1.81
2000000,3d,bull,deposit,73872,0.76
2000000,3d,bull,withdrawal,42355,-1.01
2000000,3d,bear,deposit,38522,2.44
2000000,3d,bear,withdrawal,21578,-2.96
2000000,1w,bull,deposit,73596,0.66
2000000,1w,bull,withdrawal,42238,-1.78
2000000,1w,bear,deposit,38522,4.83
2000000,1w,bear,withdrawal,21578,-4.3
5000000,24h,bull,deposit,35531,0.77
5000000,24h,bull,withdrawal,16069,-1.78
5000000,24h,bear,deposit,18612,2.19
5000000,24h,bear,withdrawal,7675,-1.87
5000000,3d,bull,deposit,35511,1.32
5000000,3d,bull,withdrawal,16063,-2.65
5000000,3d,bear,deposit,18612,2.38
5000000,3d,bear,withdrawal,7675,-3.3
5000000,1w,bull,deposit,35421,1.53
5000000,1w,bull,withdrawal,16038,-4.19
5000000,1w,bear,deposit,18612,4.92
5000000,1w,bear,withdrawal,7675,-6.14
10000000,24h,bull,deposit,18701,0.94
10000000,24h,bull,withdrawal,5922,-1.51
10000000,24h,bear,deposit,9190,2.19
10000000,24h,bear,withdrawal,2572,-3.86
10000000,3d,bull,deposit,18688,1.35
10000000,3d,bull,withdrawal,5920,-2.2
10000000,3d,bear,deposit,9190,3.58
10000000,3d,bear,withdrawal,2572,-4.13
10000000,1w,bull,deposit,18635,2.17
10000000,1w,bull,withdrawal,5918,-3.14
10000000,1w,bear,deposit,9190,4.61
10000000,1w,bear,withdrawal,2572,-7.69
