horizon,condition,outcome,n,mean_mae,median_mae,p90_mae,mean_final_return
1w,unconditional,hit,91764,2.69,2.04,6.18,-6.42
1w,unconditional,miss,88724,10.29,8.9,17.74,6.93
1w,extreme greed,hit,10760,2.75,2.3,5.99,-7.96
1w,extreme greed,miss,11278,10.65,10.49,16.77,7.56
2w,unconditional,hit,95088,4.3,3.52,9.72,-8.82
2w,unconditional,miss,84754,14.85,12.91,28.3,10.14
2w,extreme greed,hit,11723,4.41,3.79,10.33,-9.26
2w,extreme greed,miss,10315,15.99,16.87,25.86,11.76
1m,unconditional,hit,99620,6.02,5.16,12.9,-12.84
1m,unconditional,miss,78310,24.85,20.4,49.88,17.1
1m,extreme greed,hit,15707,6.3,4.89,13.67,-12.02
1m,extreme greed,miss,6331,29.12,27.92,41.64,17.5
3m,unconditional,hit,93568,9.64,7.6,20.99,-26.11
3m,unconditional,miss,76600,51.95,48.93,88.92,34.47
3m,extreme greed,hit,17890,12.3,9.68,29.38,-27.01
3m,extreme greed,miss,4148,34.85,22.39,73.52,18.75
6m,unconditional,hit,92904,20.11,13.25,54.38,-30.38
6m,unconditional,miss,64657,80.06,77.1,154.81,47.17
6m,extreme greed,hit,19539,15.45,12.4,31.67,-27.64
6m,extreme greed,miss,2499,31.63,15.45,81.3,12.34
