horizon,condition,minimum_usd,n,edge_percentage_points
1h,deposit_greed,1000000,22038,0.17
1h,deposit_greed,2000000,13416,-0.1
1h,deposit_greed,5000000,6008,-0.26
1h,deposit_greed,10000000,3206,-0.01
1h,withdrawal_negfund,1000000,16301,-1.04
1h,withdrawal_negfund,2000000,8524,-1.09
1h,withdrawal_negfund,5000000,2847,-1.4
1h,withdrawal_negfund,10000000,1011,-4.28
6h,deposit_greed,1000000,22038,0.41
6h,deposit_greed,2000000,13416,0.9
6h,deposit_greed,5000000,6008,0.44
6h,deposit_greed,10000000,3206,1.26
6h,withdrawal_negfund,1000000,16301,-1.78
6h,withdrawal_negfund,2000000,8524,-1.74
6h,withdrawal_negfund,5000000,2847,-1.45
6h,withdrawal_negfund,10000000,1011,-2.02
24h,deposit_greed,1000000,22038,2.65
24h,deposit_greed,2000000,13416,2.94
24h,deposit_greed,5000000,6008,3.21
24h,deposit_greed,10000000,3206,3.55
24h,withdrawal_negfund,1000000,16301,-1.29
24h,withdrawal_negfund,2000000,8524,-2.22
24h,withdrawal_negfund,5000000,2847,-2.45
24h,withdrawal_negfund,10000000,1011,-0.94
3d,deposit_greed,1000000,22038,0.66
3d,deposit_greed,2000000,13416,-0.01
3d,deposit_greed,5000000,6008,-0.3
3d,deposit_greed,10000000,3206,-1.03
3d,withdrawal_negfund,1000000,16301,-4.54
3d,withdrawal_negfund,2000000,8524,-5.96
3d,withdrawal_negfund,5000000,2847,-6.41
3d,withdrawal_negfund,10000000,1011,-5.8
1w,deposit_greed,1000000,22038,-0.13
1w,deposit_greed,2000000,13416,0.35
1w,deposit_greed,5000000,6008,0.76
1w,deposit_greed,10000000,3206,0.73
1w,withdrawal_negfund,1000000,16301,-5.41
1w,withdrawal_negfund,2000000,8524,-6.36
1w,withdrawal_negfund,5000000,2847,-7.59
1w,withdrawal_negfund,10000000,1011,-3.39
1m,deposit_greed,1000000,22038,1.7
1m,deposit_greed,2000000,13416,2.7
1m,deposit_greed,5000000,6008,1.68
1m,deposit_greed,10000000,3206,3.63
1m,withdrawal_negfund,1000000,15389,-5.18
1m,withdrawal_negfund,2000000,8164,-4.48
1m,withdrawal_negfund,5000000,2773,-8.35
1m,withdrawal_negfund,10000000,990,-9.04
3m,deposit_greed,1000000,22038,3.96
3m,deposit_greed,2000000,13416,5.16
3m,deposit_greed,5000000,6008,5.89
3m,deposit_greed,10000000,3206,5.19
3m,withdrawal_negfund,1000000,13670,-9.27
3m,withdrawal_negfund,2000000,7342,-10.43
3m,withdrawal_negfund,5000000,2504,-9.48
3m,withdrawal_negfund,10000000,895,-15.96
6m,deposit_greed,1000000,22038,-0.36
6m,deposit_greed,2000000,13416,-0.74
6m,deposit_greed,5000000,6008,-1.29
6m,deposit_greed,10000000,3206,-0.19
6m,withdrawal_negfund,1000000,9441,-9.79
6m,withdrawal_negfund,2000000,4877,-12.5
6m,withdrawal_negfund,5000000,1941,-7.68
6m,withdrawal_negfund,10000000,702,-18.06
