minimum_usd,horizon,year,deposit_edge_percentage_points,withdrawal_edge_percentage_points,withdrawal_negative_funding_edge_percentage_points
1000000,1h,2023,-0.1,1.22,2.2
1000000,1h,2024,-0.4,0.05,-0.39
1000000,1h,2025,0.51,-0.62,-0.97
1000000,1h,2026,0.88,-0.66,-1.48
1000000,6h,2023,-1.42,-0.04,-0.24
1000000,6h,2024,-0.1,0.55,0.14
1000000,6h,2025,0.13,-0.95,-0.27
1000000,6h,2026,1.89,-2.32,-2.88
1000000,24h,2023,-0.17,0.38,4.71
1000000,24h,2024,0.88,-0.98,10.12
1000000,24h,2025,1.79,-1.8,0.07
1000000,24h,2026,3.86,-3.34,-3.92
1000000,3d,2023,-1.05,0.18,3.47
1000000,3d,2024,-0.43,1.14,11.58
1000000,3d,2025,2.65,-3.58,-4.81
1000000,3d,2026,5.06,-4.89,-6.97
1000000,1w,2023,0.02,-1.42,4.24
1000000,1w,2024,-0.69,1.07,7.46
1000000,1w,2025,3.04,-4.2,-8.38
1000000,1w,2026,2.02,-3.75,-7.39
1000000,1m,2023,-3.83,4.26,7.31
1000000,1m,2024,4.42,-6.47,9.61
1000000,1m,2025,3.61,-5.67,-11.45
1000000,1m,2026,1.91,-3.2,-5.07
1000000,3m,2023,-2.72,1.8,0.33
1000000,3m,2024,7.01,-8.81,-3.5
1000000,3m,2025,6.08,-8.16,-17.25
1000000,3m,2026,-0.8,3.78,6.0
1000000,6m,2023,1.34,-1.83,-2.81
1000000,6m,2024,7.08,-7.44,10.01
1000000,6m,2025,7.22,-7.65,-10.77
1000000,6m,2026,0.0,0.0,0
